src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,---,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,sbin0,sbin1,sbin2,sbin3,sbin4,sbin5,sbin6,sbin7,sbin8,sbin9,area
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,8,0.7,___,48,19645,15746,62054,15746,10372,2594,0.132044,0.16474,0.167145,0.658707,1613,8,20,29,29,19,33,54,763,13178,1613,1621,1641,1670,1699,1718,1751,1805,2568,15746,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,8,0.3,___,51,23704,17501,80106,17505,11893,2035,0.0858505,0.116279,0.148466,0.679406,1298,7,17,29,25,25,43,51,664,15342,1298,1305,1322,1351,1376,1401,1444,1495,2159,17501,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,9,0.7,___,53,22458,18625,71230,18628,13859,3394,0.151127,0.182228,0.194567,0.743988,1979,7,34,35,29,13,34,73,987,15434,1979,1986,2020,2055,2084,2097,2131,2204,3191,18625,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,9,0.3,___,49,28050,20780,93659,20783,16148,2735,0.0975045,0.131617,0.172413,0.776981,1664,10,36,21,34,27,38,76,824,18050,1664,1674,1710,1731,1765,1792,1830,1906,2730,20780,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,8,0.7,___,20,4580,3563,15264,3567,1453,1011,0.220742,0.28375,0.0951913,0.407345,865,0,6,9,17,13,25,55,273,2300,865,865,871,880,897,910,935,990,1263,3563,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,8,0.3,___,20,4958,3858,18417,3860,1576,1083,0.218435,0.280715,0.0855731,0.40829,915,0,5,6,13,12,32,67,269,2539,915,915,920,926,939,951,983,1050,1319,3858,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,9,0.7,___,22,5558,4373,18168,4376,1994,1346,0.242173,0.307798,0.109753,0.455667,1083,2,4,15,17,15,57,81,348,2751,1083,1085,1089,1104,1121,1136,1193,1274,1622,4373,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,9,0.3,___,23,6084,4675,21861,4675,2247,1619,0.266108,0.34631,0.102786,0.480642,1241,2,2,5,19,24,39,72,350,2921,1241,1243,1245,1250,1269,1293,1332,1404,1754,4675,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,8,0.7,___,48,12849,12914,43608,12915,7530,2138,0.166394,0.165557,0.172675,0.583043,1307,9,18,15,18,14,34,49,639,10811,1307,1316,1334,1349,1367,1381,1415,1464,2103,12914,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,8,0.3,___,46,20250,16280,67974,16283,11376,2506,0.123753,0.153931,0.167358,0.698643,1431,10,21,16,21,18,31,57,774,13901,1431,1441,1462,1478,1499,1517,1548,1605,2379,16280,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,9,0.7,___,52,13516,14579,46779,14580,9539,2803,0.207384,0.192263,0.203916,0.654252,1564,8,25,19,16,8,34,63,745,12097,1564,1572,1597,1616,1632,1640,1674,1737,2482,14579,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,9,0.3,___,52,23392,19202,78262,19202,15460,3344,0.142955,0.174149,0.197542,0.805124,1823,7,19,18,18,18,42,52,906,16299,1823,1830,1849,1867,1885,1903,1945,1997,2903,19202,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,8,0.7,___,23,3670,3090,12192,3095,1340,919,0.250409,0.297411,0.109908,0.432956,727,3,8,13,8,10,31,49,230,2011,727,730,738,751,759,769,800,849,1079,3090,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,8,0.3,___,22,4462,3573,15729,3577,1484,1068,0.239355,0.298908,0.094348,0.414873,826,3,14,10,16,11,51,62,292,2288,826,829,843,853,869,880,931,993,1285,3573,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,9,0.7,___,24,4305,3614,14328,3617,1769,1222,0.283856,0.338129,0.123465,0.489079,924,1,8,13,14,7,32,62,281,2272,924,925,933,946,960,967,999,1061,1342,3614,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,9,0.3,___,24,5369,4491,18728,4492,2119,1529,0.284783,0.340459,0.113146,0.471728,1156,6,6,15,11,14,42,78,387,2776,1156,1162,1168,1183,1194,1208,1250,1328,1715,4491,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,8,0.7,___,48,9027,10143,31847,10143,5432,1881,0.208375,0.185448,0.170566,0.535542,1194,20,21,17,21,13,27,57,466,8307,1194,1214,1235,1252,1273,1286,1313,1370,1836,10143,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,8,0.3,___,46,19138,15063,61679,15066,11019,2865,0.149702,0.190201,0.178651,0.731382,1619,8,10,21,24,6,41,78,690,12566,1619,1627,1637,1658,1682,1688,1729,1807,2497,15063,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,9,0.7,___,49,8831,10469,32267,10469,5547,2134,0.241649,0.20384,0.171909,0.52985,1327,4,16,40,36,19,32,67,493,8435,1327,1331,1347,1387,1423,1442,1474,1541,2034,10469,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,9,0.3,___,49,21829,17515,70416,17515,14323,3508,0.160704,0.200285,0.203405,0.817756,1888,10,15,17,21,14,39,79,936,14496,1888,1898,1913,1930,1951,1965,2004,2083,3019,17515,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.99,6,8,0.7,___,20,3120,2453,10566,2454,1112,823,0.263782,0.335508,0.105243,0.453138,654,2,6,10,11,11,21,34,163,1541,654,656,662,672,683,694,715,749,912,2453,50706.1
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.99,6,8,0.3,___,20,4409,3420,15055,3422,1484,1016,0.230438,0.297076,0.0985719,0.433665,850,7,14,12,13,5,39,69,289,2122,850,857,871,883,896,901,940,1009,1298,3420,50706.1
