src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,---,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,sbin0,sbin1,sbin2,sbin3,sbin4,sbin5,sbin6,sbin7,sbin8,sbin9,area
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,27.5,0.99,6,9,0.7,___,3,862,907,864,909,625,624,0.723898,0.687982,0.72338,0.687569,397,5,10,21,15,13,18,16,108,304,397,402,412,433,448,461,479,495,603,907,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,27.5,0.99,6,9,0.3,___,3,1366,1465,1368,1465,911,911,0.666911,0.621843,0.665936,0.621843,630,1,12,13,25,9,23,33,166,553,630,631,643,656,681,690,713,746,912,1465,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.7,___,5,1735,2733,1737,2737,1670,1659,0.956196,0.607025,0.961428,0.610157,993,10,14,17,14,8,20,45,394,1218,993,1003,1017,1034,1048,1056,1076,1121,1515,2733,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.3,___,5,4803,5458,4805,5462,4596,4590,0.955653,0.840967,0.956504,0.84145,2557,8,15,20,12,27,32,139,1122,1526,2557,2565,2580,2600,2612,2639,2671,2810,3932,5458,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.7,___,6,1684,2645,1688,2650,1858,1624,0.964371,0.613989,1.10071,0.701132,903,3,7,14,9,15,14,43,267,1370,903,906,913,927,936,951,965,1008,1275,2645,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.3,___,6,5464,6257,5468,6262,5962,5897,1.07925,0.942464,1.09034,0.952092,3038,7,24,23,22,30,44,173,1229,1667,3038,3045,3069,3092,3114,3144,3188,3361,4590,6257,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.99,6,8,0.7,___,2,662,720,662,720,414,414,0.625378,0.575,0.625378,0.575,304,3,9,19,13,5,13,11,63,280,304,307,316,335,348,353,366,377,440,720,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.99,6,8,0.3,___,3,1131,1240,1131,1241,741,738,0.65252,0.595161,0.655172,0.597099,524,3,10,19,13,3,21,30,108,509,524,527,537,556,569,572,593,623,731,1240,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.99,6,9,0.7,___,2,761,811,761,811,538,538,0.706965,0.663379,0.706965,0.663379,357,3,17,17,11,7,12,17,86,284,357,360,377,394,405,412,424,441,527,811,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.99,6,9,0.3,___,3,1353,1498,1353,1498,932,932,0.68884,0.622163,0.68884,0.622163,654,3,11,25,14,2,13,47,183,546,654,657,668,693,707,709,722,769,952,1498,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,35,0.25,6,8,0.7,___,5,1094,1885,1094,1885,1054,1054,0.963437,0.559151,0.963437,0.559151,621,7,8,13,12,10,9,39,213,953,621,628,636,649,661,671,680,719,932,1885,21979.1
