src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,set_radius_harris,set_radius_search_harris,HarrisRosponseMethod,___,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,8,0.5,1.7,1.7,LOWE,___,7,3202,4319,3206,4322,3321,3220,1.00562,0.745543,1.03587,0.768394
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,8,0.7,1.7,1.7,LOWE,___,6,1753,2793,1757,2793,1880,1880,1.07245,0.673111,1.07001,0.673111
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,8,0.3,1.7,1.7,LOWE,___,6,4867,5597,4871,5599,4546,4483,0.921101,0.800965,0.933279,0.811931
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,9,0.5,1.7,1.7,LOWE,___,7,3227,4498,3230,4502,3619,3613,1.11962,0.803246,1.12043,0.803865
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,9,0.7,1.7,1.7,LOWE,___,7,1580,2563,1583,2565,1843,1768,1.11899,0.689817,1.16425,0.718519
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,9,0.3,1.7,1.7,LOWE,___,7,5377,6349,5380,6352,5818,5640,1.04891,0.888329,1.08141,0.915932
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,8,0.5,1.7,1.7,LOWE,___,8,3270,4379,3274,4385,3212,3114,0.952294,0.711121,0.981063,0.732497
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,8,0.7,1.7,1.7,LOWE,___,7,1821,2883,1825,2886,1845,1839,1.00988,0.637877,1.01096,0.639293
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,8,0.3,1.7,1.7,LOWE,___,7,4935,5510,4939,5512,4507,4437,0.899088,0.805263,0.912533,0.817671
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,9,0.5,1.7,1.7,LOWE,___,7,3300,4664,3303,4664,3772,3772,1.14303,0.808748,1.14199,0.808748
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,9,0.7,1.7,1.7,LOWE,___,7,1653,2621,1656,2624,1761,1757,1.06292,0.670355,1.06341,0.671113
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,9,0.3,1.7,1.7,LOWE,___,7,5450,6516,5453,6520,5944,5647,1.03615,0.866636,1.09004,0.911656
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.5,1.7,1.7,LOWE,___,6,3222,4276,3224,4278,3237,3008,0.933582,0.703461,1.00403,0.756662
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.7,1.7,1.7,LOWE,___,5,1735,2736,1737,2739,1766,1761,1.01499,0.64364,1.0167,0.644761
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.3,1.7,1.7,LOWE,___,5,4803,5377,4805,5379,4620,4619,0.961691,0.859029,0.961498,0.858896
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.5,1.7,1.7,LOWE,___,6,3346,4534,3350,4537,3754,3680,1.09982,0.811645,1.1206,0.827419
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.7,1.7,1.7,LOWE,___,6,1684,2672,1688,2677,1776,1532,0.909739,0.573353,1.05213,0.663429
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.3,1.7,1.7,LOWE,___,6,5464,6311,5468,6311,5893,5684,1.04026,0.90065,1.07772,0.933766
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,8,0.5,1.7,1.7,LOWE,___,6,3228,4310,3230,4314,3427,3416,1.05824,0.792575,1.06099,0.79439
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,8,0.7,1.7,1.7,LOWE,___,5,1741,2769,1743,2775,1693,1627,0.93452,0.587577,0.971314,0.61009
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,8,0.3,1.7,1.7,LOWE,___,5,4809,5438,4811,5440,4715,4569,0.950094,0.840199,0.980046,0.866728
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,9,0.5,1.7,1.7,LOWE,___,6,3355,4656,3359,4659,3823,3816,1.13741,0.819588,1.13814,0.820562
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,9,0.7,1.7,1.7,LOWE,___,6,1693,2674,1697,2677,1957,1778,1.05021,0.664921,1.15321,0.731042
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,9,0.3,1.7,1.7,LOWE,___,7,5473,6274,5477,6276,6030,5840,1.06706,0.930826,1.10097,0.960803
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,6,8,0.5,1.7,1.7,LOWE,___,5,2232,2818,2234,2821,1947,1947,0.872312,0.690916,0.871531,0.690181
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,6,8,0.7,1.7,1.7,LOWE,___,5,1337,1893,1339,1896,1179,1173,0.877337,0.619651,0.880508,0.621835
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,6,8,0.3,1.7,1.7,LOWE,___,5,3086,3405,3088,3409,2630,2598,0.841866,0.762996,0.851684,0.771487
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,6,9,0.5,1.7,1.7,LOWE,___,5,2420,2998,2423,3004,2421,2336,0.965289,0.779186,0.999175,0.805925
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,6,9,0.7,1.7,1.7,LOWE,___,5,1369,1745,1372,1748,1277,1276,0.932067,0.731232,0.930758,0.730549
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,6,9,0.3,1.7,1.7,LOWE,___,5,3592,4034,3595,4037,3298,3253,0.905624,0.806396,0.917385,0.816943
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,7,8,0.5,1.7,1.7,LOWE,___,5,2235,2767,2237,2769,2004,1893,0.84698,0.684134,0.895843,0.723727
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,7,8,0.7,1.7,1.7,LOWE,___,4,1340,1922,1342,1924,1240,1238,0.923881,0.644121,0.923994,0.644491
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,7,8,0.3,1.7,1.7,LOWE,___,5,3089,3490,3091,3496,2613,2545,0.823891,0.729226,0.845357,0.747426
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,7,9,0.5,1.7,1.7,LOWE,___,5,2423,2979,2426,2980,2309,2304,0.950887,0.773414,0.951772,0.774832
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,7,9,0.7,1.7,1.7,LOWE,___,4,1372,1867,1375,1869,1399,1323,0.964286,0.708623,1.01745,0.748529
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.5,7,9,0.3,1.7,1.7,LOWE,___,4,3595,4044,3598,4044,3399,3372,0.937969,0.833828,0.944691,0.840504
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,6,8,0.5,1.7,1.7,LOWE,___,3,1588,1832,1588,1834,1342,1342,0.845088,0.732533,0.845088,0.731734
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,6,8,0.7,1.7,1.7,LOWE,___,3,1035,1283,1035,1284,880,855,0.826087,0.666407,0.850242,0.685358
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,6,8,0.3,1.7,1.7,LOWE,___,4,2074,2263,2075,2266,1567,1567,0.755545,0.692444,0.755181,0.691527
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,6,9,0.5,1.7,1.7,LOWE,___,4,1709,2076,1710,2078,1621,1427,0.834991,0.68738,0.947953,0.780077
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,6,9,0.7,1.7,1.7,LOWE,___,4,1046,1238,1047,1240,921,903,0.863289,0.729402,0.879656,0.742742
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,6,9,0.3,1.7,1.7,LOWE,___,3,2392,2664,2393,2666,2083,2083,0.870819,0.781907,0.870455,0.78132
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,7,8,0.5,1.7,1.7,LOWE,___,3,1588,1817,1588,1818,1223,1190,0.74937,0.654926,0.770151,0.672717
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,7,8,0.7,1.7,1.7,LOWE,___,3,1035,1206,1035,1206,818,818,0.790338,0.678275,0.790338,0.678275
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,7,8,0.3,1.7,1.7,LOWE,___,3,2074,2269,2075,2274,1588,1588,0.76567,0.699868,0.765301,0.698329
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,7,9,0.5,1.7,1.7,LOWE,___,4,1709,2025,1710,2026,1622,1622,0.949093,0.800988,0.948538,0.800592
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,7,9,0.7,1.7,1.7,LOWE,___,4,1046,1260,1047,1261,900,897,0.857553,0.711905,0.859599,0.713719
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.7,7,9,0.3,1.7,1.7,LOWE,___,3,2392,2700,2393,2701,2026,2001,0.836538,0.741111,0.846636,0.750093
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,1.3,6,8,0.5,1.7,1.7,LOWE,___,2,622,607,622,607,360,360,0.578778,0.593081,0.578778,0.593081
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,1.3,6,8,0.7,1.7,1.7,LOWE,___,2,525,517,525,517,297,297,0.565714,0.574468,0.565714,0.574468
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,1.3,6,8,0.3,1.7,1.7,LOWE,___,2,734,766,734,766,403,403,0.549046,0.52611,0.549046,0.52611
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,1.3,6,9,0.5,1.7,1.7,LOWE,___,2,728,761,729,761,449,447,0.614011,0.587385,0.615912,0.590013
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,1.3,6,9,0.7,1.7,1.7,LOWE,___,2,613,620,614,620,390,390,0.636215,0.629032,0.635179,0.629032
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,1.3,6,9,0.3,1.7,1.7,LOWE,___,2,881,911,882,911,554,554,0.628831,0.608123,0.628118,0.608123
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,30,1.3,7,8,0.5,1.7,1.7,LOWE,___,2,622,628,622,628,377,377,0.606109,0.600318,0.606109,0.600318
