src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,set_radius_harris,set_radius_search_harris,HarrisRosponseMethod,___,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,0.1,1.7,1.7,LOWE,___,17,920,1246,3095,1247,171,80,0.0869565,0.0642055,0.0552504,0.137129
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,0.25,1.7,1.7,LOWE,___,2,195,133,302,376,49,27,0.138462,0.203008,0.162252,0.130319
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,0.25,1.7,1.7,LOWE,___,17,186,342,697,342,15,4,0.0215054,0.0116959,0.0215208,0.0438596
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,0.5,1.7,1.7,LOWE,___,2,103,59,137,136,15,9,0.0873786,0.152542,0.109489,0.110294
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,0.5,1.7,1.7,LOWE,___,17,65,119,202,119,3,2,0.0307692,0.0168067,0.0148515,0.0252101
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,0.7,1.7,1.7,LOWE,___,2,64,31,87,75,4,2,0.03125,0.0645161,0.045977,0.0533333
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,0.7,1.7,1.7,LOWE,___,16,34,78,109,78,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,1,1.7,1.7,LOWE,___,2,39,19,58,51,2,1,0.025641,0.0526316,0.0344828,0.0392157
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,1,1.7,1.7,LOWE,___,17,19,42,50,42,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,1.3,1.7,1.7,LOWE,___,2,23,10,41,28,0,0,0,0,0,0
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,1.3,1.7,1.7,LOWE,___,17,11,28,22,28,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,1.5,1.7,1.7,LOWE,___,3,17,7,35,22,0,0,0,0,0,0
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,5,1.5,1.7,1.7,LOWE,___,16,7,23,13,23,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.01,1.7,1.7,LOWE,___,2,826,646,1182,1247,362,221,0.267554,0.342105,0.306261,0.290297
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.01,1.7,1.7,LOWE,___,18,4434,3148,14999,3149,1515,1162,0.262066,0.369123,0.101007,0.481105
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.1,1.7,1.7,LOWE,___,2,426,330,667,828,140,69,0.161972,0.209091,0.209895,0.169082
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.1,1.7,1.7,LOWE,___,17,882,1522,3294,1523,183,43,0.0487528,0.0282523,0.0555556,0.120158
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.25,1.7,1.7,LOWE,___,2,230,193,362,479,71,37,0.16087,0.19171,0.196133,0.148225
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.25,1.7,1.7,LOWE,___,18,184,376,697,376,29,16,0.0869565,0.0425532,0.0416069,0.0771277
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.5,1.7,1.7,LOWE,___,2,114,84,159,164,23,17,0.149123,0.202381,0.144654,0.140244
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.5,1.7,1.7,LOWE,___,18,55,133,180,133,3,0,0,0,0.0166667,0.0225564
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.7,1.7,1.7,LOWE,___,2,71,46,107,100,7,3,0.0422535,0.0652174,0.0654206,0.07
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,0.7,1.7,1.7,LOWE,___,17,30,80,88,80,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,1,1.7,1.7,LOWE,___,2,41,26,68,58,3,1,0.0243902,0.0384615,0.0441176,0.0517241
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,1,1.7,1.7,LOWE,___,18,19,43,45,43,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,1.3,1.7,1.7,LOWE,___,2,24,15,47,35,0,0,0,0,0,0
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,1.3,1.7,1.7,LOWE,___,18,8,31,17,31,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,1.5,1.7,1.7,LOWE,___,2,20,8,40,23,0,0,0,0,0,0
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,6,1.5,1.7,1.7,LOWE,___,17,6,26,13,26,0,0,0,0,0,0
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,7,0.01,1.7,1.7,LOWE,___,2,1132,854,1604,1612,496,279,0.246466,0.326698,0.309227,0.307692
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,7,0.01,1.7,1.7,LOWE,___,19,5741,4182,18620,4182,2212,1688,0.294025,0.403635,0.118797,0.528934
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,7,0.1,1.7,1.7,LOWE,___,3,549,392,869,991,178,100,0.182149,0.255102,0.204833,0.179617
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,7,0.1,1.7,1.7,LOWE,___,19,941,1812,3478,1812,202,59,0.0626993,0.0325607,0.0580794,0.111479
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,7,0.25,1.7,1.7,LOWE,___,2,282,213,438,497,84,52,0.184397,0.244131,0.191781,0.169014
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,7,0.25,1.7,1.7,LOWE,___,19,227,422,715,422,33,23,0.101322,0.0545024,0.0461538,0.0781991
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_2.pcd,21309,23614,0,0,0,0,0,SWIFT,0,0,0,0,30,0.99,5,7,0.5,1.7,1.7,LOWE,___,2,138,81,194,161,20,12,0.0869565,0.148148,0.103093,0.124224
